fid,資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日),日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,year
2879,1,30,112,4,2,0,1,30000,0,0,103,2018,11,20,4,20,22,2,1,1,14,0,7,0,23,0,23,1,9,1,1,5,4,1,45,25,12,61,31,0,11,0,2,0,20,0,3,0,2,0,2,0,4,2,354034764,1394410989,3,3,,,,,,,,,,,,,,,2019
2880,1,30,112,5,2,0,1,20150,0,0,103,2018,12,15,1,35,22,1,1,1,1,0,7,9,22,0,23,14,9,30,70,4,1,1,55,45,3,61,31,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,354023082,1394416700,7,3,,,,,,,,,,,,,,,2019
2889,1,30,112,14,2,0,1,20090,0,0,101,2019,1,22,9,0,12,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,1,1,45,35,3,61,1,0,1,0,5,0,40,0,4,0,2,0,2,0,4,2,354024224,1394421802,3,3,,,,,,,,,,,,,,,2019
2891,1,30,112,16,2,0,1,30000,0,0,103,2019,1,28,22,45,22,2,1,1,13,0,7,0,23,0,23,3,6,1,70,5,1,1,45,25,3,61,31,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,354009046,1394413941,2,3,,,,,,,,,,,,,,,2019
2895,1,30,112,20,2,0,1,20170,0,0,103,2019,1,30,18,53,22,1,1,1,1,0,1,9,22,0,23,19,9,30,70,1,1,1,65,25,3,61,1,0,1,0,10,0,10,0,3,0,2,0,2,0,4,2,354009868,1394429042,4,3,,,,,,,,,,,,,,,2019
2896,1,30,112,21,2,0,1,20150,0,0,103,2019,1,30,23,15,22,1,1,1,1,0,7,1,21,0,23,14,9,30,1,4,1,1,45,35,3,61,1,0,1,0,2,0,40,0,3,0,2,0,2,0,4,2,354022778,1394416496,4,3,,,,,,,,,,,,,,,2019
2904,1,30,113,7,2,0,1,85010,0,0,111,2018,12,25,8,13,12,1,1,1,13,0,7,0,23,0,23,5,3,1,70,5,1,1,45,25,3,61,31,0,1,0,5,0,20,0,3,0,2,0,2,0,4,2,353528675,1394627870,3,3,,,,,,,,,,,,,,,2019
2911,1,30,113,14,2,0,1,3570,2,348,109,2019,1,1,10,14,12,1,1,1,14,0,7,0,23,0,23,3,7,1,70,5,2,1,65,45,3,61,1,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,353633246,1394520946,3,1,,,,,,,,,,,,,,,2019
2915,1,30,113,18,2,0,1,10370,0,0,108,2019,1,8,17,50,22,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,2,1,65,45,3,61,31,0,1,0,10,0,50,0,3,0,2,0,2,0,4,2,353732954,1394640278,3,3,,,,,,,,,,,,,,,2019
2925,1,30,113,28,2,0,1,85010,0,0,108,2019,1,22,13,55,12,1,1,1,1,0,1,9,22,0,23,15,9,30,70,1,1,1,55,45,24,61,0,0,0,0,5,0,40,0,4,0,0,0,0,0,4,2,353755247,1394742675,3,3,,,,,,,,,,,,,,,2019
2931,1,30,215,2,2,0,1,30000,0,0,109,2018,12,19,18,50,22,1,1,1,7,0,7,0,23,0,23,1,9,1,70,5,3,1,25,55,51,61,0,0,0,0,0,0,40,0,3,0,0,0,0,0,4,2,353651160,1394424892,4,3,,,,,,,,,,,,,,,2019
2938,1,30,215,9,2,0,1,99000,0,0,109,2019,1,11,9,40,12,1,1,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,25,1,51,61,0,0,0,0,0,0,20,0,4,0,0,0,0,0,4,2,353710362,1394501645,6,3,,,,,,,,,,,,,,,2019
2939,1,30,215,10,2,0,1,30000,0,0,109,2019,1,16,19,34,22,1,1,1,7,0,7,0,23,0,23,3,9,1,70,4,2,1,1,75,36,61,31,0,0,0,2,0,20,0,3,0,0,0,0,0,4,2,353643920,1394424922,4,3,,,,,,,,,,,,,,,2019
2944,1,30,215,15,2,0,1,30000,0,0,109,2019,1,27,8,37,12,1,1,1,21,0,7,0,23,0,23,1,9,20,70,4,3,1,65,35,3,61,31,0,1,0,1,0,40,0,3,0,2,0,2,0,4,2,353637871,1394341189,1,3,,,,,,,,,,,,,,,2019
2945,1,30,215,16,2,0,1,30000,0,0,109,2019,1,27,17,22,21,1,1,1,1,0,1,9,22,0,23,14,9,30,70,1,1,1,55,45,3,61,1,0,1,0,3,0,40,0,4,0,2,0,2,0,4,2,353625563,1394450123,1,3,,,,,,,,,,,,,,,2019
2955,1,30,216,7,2,0,1,30000,0,0,109,2018,12,25,12,35,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,3,1,25,1,14,61,1,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,353550047,1394436691,3,3,,,,,,,,,,,,,,,2019
2957,1,30,216,9,2,0,1,30000,0,0,109,2019,1,8,8,8,12,1,1,1,1,0,7,9,22,0,23,11,9,30,1,5,2,1,35,1,3,61,31,0,1,0,2,0,18,0,3,0,2,0,2,0,4,2,353550245,1394412634,3,3,,,,,,,,,,,,,,,2019
2959,1,30,216,11,2,0,1,30000,0,0,109,2019,1,13,4,47,22,1,1,1,1,0,7,9,22,0,23,15,9,20,70,4,4,1,1,75,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353600679,1394443879,1,2,,,,,,,,,,,,,,,2019
2961,1,30,216,13,2,0,1,150,2,109,109,2019,1,17,21,42,22,1,1,1,14,0,1,0,23,0,23,5,9,1,70,1,2,1,25,55,3,61,31,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,353554159,1394417267,5,3,,,,,,,,,,,,,,,2019
2972,1,30,217,9,2,0,1,20130,0,0,109,2019,1,18,15,10,12,1,1,1,13,0,7,0,23,0,23,6,4,1,70,1,2,1,25,75,3,61,31,0,1,0,4,0,30,0,4,0,2,0,2,0,4,2,353755346,1394313929,6,3,,,,,,,,,,,,,,,2019
2973,1,30,217,10,2,0,1,95000,0,0,109,2019,1,19,11,44,12,1,1,1,14,0,7,0,23,0,23,4,9,1,70,1,1,1,25,45,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353720455,1394316643,7,3,,,,,,,,,,,,,,,2019
2974,1,30,217,11,2,0,1,20000,0,0,109,2019,1,21,9,27,12,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,3,1,35,65,3,61,31,0,1,0,2,0,30,0,4,0,2,0,2,0,4,2,353729389,1394323095,2,3,,,,,,,,,,,,,,,2019
2980,1,30,217,17,2,0,1,30000,0,0,109,2019,1,23,19,50,22,1,1,1,1,0,7,9,22,0,23,18,9,20,70,5,1,1,45,45,3,61,1,0,1,0,10,0,30,0,4,0,2,0,2,0,4,2,353733920,1394328411,4,3,,,,,,,,,,,,,,,2019
2981,1,30,217,18,2,0,1,95000,0,0,109,2019,1,31,13,9,12,2,1,1,1,0,1,9,22,0,23,15,8,30,70,4,1,1,1,65,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353728232,1394235872,5,3,,,,,,,,,,,,,,,2019
2987,1,30,218,4,2,0,1,10,1,124,109,2018,11,11,12,15,12,1,1,1,7,0,7,0,23,0,23,1,9,1,70,5,2,1,55,75,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353621748,1394249189,1,3,,,,,,,,,,,,,,,2019
2998,1,30,218,15,2,0,1,30000,0,0,109,2019,1,28,17,25,21,1,1,1,14,0,7,0,23,0,23,1,9,1,70,5,3,1,25,45,51,61,0,0,0,0,0,0,10,0,4,0,0,0,0,0,4,2,353658488,1394244600,2,3,,,,,,,,,,,,,,,2019
3005,1,30,219,1,1,1,0,10130,0,0,111,2019,1,16,11,18,12,1,1,1,1,0,1,9,22,0,23,17,9,30,70,5,1,1,55,75,11,61,31,0,11,0,4,0,10,0,3,0,2,0,2,0,4,1,353442169,1394355851,4,3,,,,,,,,,,,,,,,2019
3007,1,30,219,3,2,0,1,10130,0,0,111,2019,1,1,21,10,22,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,1,1,35,25,35,61,31,0,0,0,10,0,10,0,3,0,0,0,0,0,4,2,353456346,1394454633,3,1,,,,,,,,,,,,,,,2019
3017,1,30,219,13,2,0,1,95000,0,0,111,2019,1,11,11,36,12,1,1,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,45,75,3,61,1,0,1,0,10,0,40,0,4,0,2,0,2,0,4,2,353505060,1394407632,6,3,,,,,,,,,,,,,,,2019
3018,1,30,219,14,2,0,1,20180,0,0,111,2019,1,11,11,5,12,1,1,1,14,0,7,0,23,0,23,4,9,1,70,4,1,1,55,55,3,61,1,0,1,0,3,0,10,0,2,0,2,0,2,0,4,2,353532541,1394345284,6,3,,,,,,,,,,,,,,,2019
3024,1,30,219,20,2,0,1,30000,0,0,111,2019,1,17,14,28,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,3,1,45,75,51,61,0,0,0,0,0,0,20,0,4,0,0,0,0,0,4,2,353403327,1394335818,5,3,,,,,,,,,,,,,,,2019
3025,1,30,219,21,2,0,1,20180,0,0,111,2019,1,17,16,24,13,1,1,1,14,0,7,0,23,0,23,4,9,1,70,4,1,1,45,55,35,61,31,0,0,0,3,0,10,0,3,0,0,0,0,0,4,2,353443578,1394306510,5,3,,,,,,,,,,,,,,,2019
3026,1,30,219,22,2,0,1,20180,0,0,111,2019,1,18,14,25,12,1,1,1,14,0,7,0,23,0,23,2,9,1,70,4,1,1,65,75,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353509296,1394332878,6,3,,,,,,,,,,,,,,,2019
3034,1,30,219,30,2,0,1,30710,0,0,111,2019,1,25,8,17,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,4,2,1,25,1,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353530682,1394319465,6,3,,,,,,,,,,,,,,,2019
3041,1,30,219,37,2,0,1,30000,0,0,111,2019,1,31,13,20,12,2,1,1,1,0,1,9,22,0,23,15,9,30,70,4,1,1,25,45,14,61,1,0,11,0,3,0,10,0,2,0,2,0,2,0,4,2,353513511,1394347422,5,3,,,,,,,,,,,,,,,2019
3048,1,30,220,5,2,0,1,30000,0,0,111,2019,1,12,12,46,12,2,1,1,14,0,7,0,23,0,23,3,9,1,70,4,2,1,45,35,3,61,31,0,1,0,2,0,40,0,3,0,2,0,2,0,4,2,353619223,1394115344,7,3,,,,,,,,,,,,,,,2019
3052,1,30,220,9,2,0,1,10190,0,0,111,2019,1,22,20,0,22,1,1,1,14,0,7,0,23,0,23,3,9,1,70,4,3,1,35,45,31,61,31,0,0,0,3,0,10,0,3,0,0,0,0,0,4,2,353532498,1393926022,3,3,,,,,,,,,,,,,,,2019
